SG_UF,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023,ETAPA
SE,"2,8","2,6","2,9","2,9","2,8","2,6","3,1","3,3","3,9","3,7",Ensino Médio
SP,"4,5","4,7","5,4","5,4","5,7","6,4","6,5","6,6","6,1","6,2",Anos Iniciais
SP,"3,8",4,"4,3","4,3","4,4","4,7","4,8","5,2","5,3","5,1",Anos Finais
SP,"3,3","3,4","3,6","3,9","3,7","3,9","3,8","4,3","4,4","4,2",Ensino Médio
*SE,"4,5","4,7","5,4","5,5","5,9","6,3","6,5","6,5","6,1","6,2",Anos Iniciais
*SE,"3,6","3,8","4,1","4,2","4,4","4,5","4,6","4,9","5,1","4,9",Anos Finais
*SE,"3,2","3,4","3,5","3,6","3,6","3,7","3,6","4,1","4,1","4,1",Ensino Médio
*S,"4,2","4,6","4,9","5,4","5,6","5,6","5,8","5,8",6,"5,8",Anos Iniciais
*S,"3,5","3,9",4,"4,1",4,"4,3","4,6","4,8","5,1","5,1",Anos Finais
*S,"3,4","3,6","3,8","3,7","3,6","3,5","3,6","4,1","4,2","4,2",Ensino Médio
TO,"3,6","4,2","4,5","4,9","5,1",5,"5,8","5,8","5,5","6,2",Anos Iniciais
TO,"3,4","3,6","3,9","3,9","3,7","3,8","4,4","4,4","4,7","4,7",Anos Finais
TO,"2,9","3,1","3,3","3,5","3,2","3,3","3,7","3,9","4,1","4,1",Ensino Médio


